Student Number,Last Name,First Name,Middle Name,Grade Level,Section,Strand,Gender
SN-0001,Flores,Antonio,Bernardo,4,A,,Female
SN-0002,Bautista,Catherine,Esperanza,4,A,,Female
SN-0003,Torres,Daniel,Carlos,4,A,,Female
SN-0004,Reyes,Miguel,Gabriel,4,A,,Female
SN-0005,Flores,Carlos,Cruz,4,A,,Male
SN-0006,Navarro,Catherine,Fernandez,4,A,,Male
SN-0007,Morales,Antonio,Hernandez,4,A,,Female
SN-0008,Flores,Rafael,Jesus,4,A,,Female
SN-0009,Torres,Carlos,Kenneth,4,A,,Female
SN-0010,Dela Cruz,Francis,Thomas,4,A,,Female
SN-0011,Castillo,Juan,Carlos,4,A,,Male
SN-0012,Gonzales,Rafael,Bernardo,4,A,,Male
SN-0013,Gonzales,Carlos,Fernando,4,A,,Male
SN-0014,Garcia,Carlos,Jesus,4,A,,Male
SN-0015,Morales,Lucia,Isabel,4,A,,Male
SN-0016,Castillo,Pedro,Santos,4,A,,Male
SN-0017,Ramos,Andrea,Quincy,4,A,,Male
SN-0018,Domingo,Miguel,Fernandez,4,A,,Female
SN-0019,Cruz,Pedro,Hernandez,4,A,,Male
SN-0020,Navarro,Angela,Sofia,4,A,,Male
SN-0021,Santos,Marco,Antonio,4,A,,Male
SN-0022,Lopez,Isabella,Rose,4,A,,Female
SN-0023,Mendoza,Diego,Andres,4,A,,Male
SN-0024,Silva,Valentina,Marie,4,A,,Female
SN-0025,Martinez,Sebastian,Luis,4,A,,Male
SN-0026,Villanueva,Patricia,Marie,4,A,,Female
SN-0027,Alvarez,James,Michael,4,A,,Male
SN-0028,Rivera,Sophia,Grace,4,A,,Female
SN-0029,Sanchez,Matthew,John,4,A,,Male
SN-0030,Castro,Emma,Christine,4,A,,Female
SN-0031,Ramos,Noah,David,4,A,,Male
SN-0032,Del Rosario,Olivia,Anne,4,A,,Female
SN-0033,Manalo,Ethan,Paul,4,A,,Male
SN-0034,De Guzman,Amelia,Jane,4,A,,Female
SN-0035,Salazar,Lucas,Mark,4,A,,Male
SN-0036,Valdez,Charlotte,May,4,A,,Female
SN-0037,Enriquez,Alexander,James,4,A,,Male
SN-0038,Corpuz,Harper,Lynn,4,A,,Female
SN-0039,Bautista,Benjamin,Joseph,4,A,,Male
SN-0040,Macapagal,Evelyn,Rose,4,A,,Female
SN-0041,Quizon,Daniel,Peter,4,A,,Male
SN-0042,Abad,Victoria,Louise,4,A,,Female
SN-0043,Manuel,Henry,Robert,4,A,,Male
SN-0044,Acosta,Scarlett,Faith,4,A,,Female
SN-0045,Delos Santos,Jack,William,4,A,,Male
SN-0046,Espiritu,Maya,Elizabeth,4,A,,Female
SN-0047,Galang,Oliver,Thomas,4,A,,Male
SN-0048,Magbanua,Luna,Marie,4,A,,Female
SN-0049,Palma,Leo,Anthony,4,A,,Male
SN-0050,Salvador,Aria,Claire,4,A,,Female
