Student Number,Last Name,First Name,Middle Name,Grade Level,Section,Strand,Gender
SN-0001,Flores,Antonio,Bernardo,Grade 1,A,,Female
SN-0002,Bautista,Catherine,Esperanza,Grade 2,Loyalty,,Female
SN-0003,Torres,Daniel,Carlos,Grade 3,Hope,,Female
SN-0004,Reyes,Miguel,Gabriel,Grade 4,Charity,,Female
SN-0005,Flores,Carlos,Cruz,Grade 5,Peace,,Male
SN-0006,Navarro,Catherine,Fernandez,Grade 6,Unity,,Male
SN-0007,Morales,Antonio,Hernandez,Grade 7,Integrity,,Female
SN-0008,Flores,Rafael,Jesus,Grade 8,Harmony,,Female
SN-0009,Torres,Carlos,Kenneth,Grade 9,Wisdom,,Female
SN-0010,Dela Cruz,Francis,Thomas,Grade 10,Faith,,Female
SN-0011,Castillo,Juan,Carlos,Grade 11,Charity,HUMSS,Male
SN-0012,Gonzales,Rafael,Bernardo,Grade 12,Loyalty,HUMSS,Male
SN-0013,Gonzales,Carlos,Fernando,Grade 1,A,,Male
SN-0014,Garcia,Carlos,Jesus,Grade 2,Peace,,Male
SN-0015,Morales,Lucia,Isabel,Grade 3,Unity,,Male
SN-0016,Castillo,Pedro,Santos,Grade 4,Integrity,,Male
SN-0017,Ramos,Andrea,Quincy,Grade 5,Harmony,,Male
SN-0018,Domingo,Miguel,Fernandez,Grade 6,Wisdom,,Female
SN-0019,Cruz,Pedro,Hernandez,Grade 7,Faith,,Male
SN-0020,Navarro,Angela,Sofia,Grade 8,Loyalty,,Male
SN-0021,Santos,Marco,Antonio,Grade 9,Hope,STEM,Male
SN-0022,Lopez,Isabella,Rose,Grade 10,Charity,ABM,Female
SN-0023,Mendoza,Diego,Andres,Grade 11,Peace,STEM,Male
SN-0024,Silva,Valentina,Marie,Grade 12,Unity,HUMSS,Female
SN-0025,Martinez,Sebastian,Luis,Grade 1,A,,Male
